Java HotSpot(TM) 64-Bit Server VM (25.162-b12) for windows-amd64 JRE (1.8.0_162-b12), built on Dec 19 2017 20:00:03 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16452116k(7083948k free), swap 24316436k(9325880k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-05-16T18:10:34.831+0800: 1.000: [Full GC (Ergonomics) [PSYoungGen: 29516K->28577K(58368K)] [ParOldGen: 174653K->174734K(175104K)] 204170K->203312K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0310897 secs] [Times: user=0.06 sys=0.02, real=0.03 secs] 
2021-05-16T18:10:34.863+0800: 1.032: [Full GC (Ergonomics) [PSYoungGen: 29647K->28686K(58368K)] [ParOldGen: 174734K->174995K(175104K)] 204381K->203682K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0315100 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2021-05-16T18:10:34.895+0800: 1.064: [Full GC (Ergonomics) [PSYoungGen: 29635K->28766K(58368K)] [ParOldGen: 174995K->174995K(175104K)] 204630K->203761K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0056129 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-05-16T18:10:34.901+0800: 1.070: [Full GC (Ergonomics) [PSYoungGen: 29574K->28964K(58368K)] [ParOldGen: 174995K->174995K(175104K)] 204569K->203959K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0039040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-05-16T18:10:34.906+0800: 1.075: [Full GC (Ergonomics) [PSYoungGen: 29630K->28928K(58368K)] [ParOldGen: 174995K->174995K(175104K)] 204625K->203923K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0061079 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
2021-05-16T18:10:34.913+0800: 1.081: [Full GC (Ergonomics) [PSYoungGen: 29678K->29098K(58368K)] [ParOldGen: 174995K->174995K(175104K)] 204673K->204094K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0062228 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-05-16T18:10:34.919+0800: 1.088: [Full GC (Ergonomics) [PSYoungGen: 29552K->29134K(58368K)] [ParOldGen: 174995K->174995K(175104K)] 204547K->204130K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0032506 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-05-16T18:10:34.923+0800: 1.092: [Full GC (Ergonomics) [PSYoungGen: 29583K->29350K(58368K)] [ParOldGen: 174995K->174995K(175104K)] 204578K->204346K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0036087 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-05-16T18:10:34.927+0800: 1.096: [Full GC (Ergonomics) [PSYoungGen: 29662K->29134K(58368K)] [ParOldGen: 174995K->174995K(175104K)] 204658K->204130K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0038263 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-05-16T18:10:34.931+0800: 1.100: [Full GC (Ergonomics) [PSYoungGen: 29640K->28586K(58368K)] [ParOldGen: 174995K->174639K(175104K)] 204635K->203225K(233472K), [Metaspace: 2810K->2810K(1056768K)], 0.0244284 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
